Name,Nationality,Ranking,Position,Weight (kg),Height (cm),Spike (cm),Block (cm),Birthdate,Points,Awards,Matches,Tournaments,Dominant hand
Jordan Larson,USA,23,1,75,188,302,295,10/16/1986,5139,24,424,97,Right
Taismary Agüero,Cuba,24,2,69,178,322,300,3/5/1977,5138.55,26,112,89,Right
Francesca Piccinini,Italy,25,1,72,185,315,296,1/10/1979,5088.75,9,278,147,Right
Elizaveta Bracht-Tishchenko,Russia,26,3,75,190,309,302,2/7/1975,5073.3,20,4,94,
Paola Egonu,Italy,27,2,70,195,347,330,12/18/1998,4919.7,35,289,65,Right
Camila Brait,Brazil,28,5,59,170,271,256,10/20/1988,4894.75,27,314,98,
Elena Godina,Russia,29,1,72,196,317,310,9/17/1977,4889.7,12,323,144,Right
Nataliya Goncharova,Russia,30,2,75,194,315,306,6/1/1989,4821.95,37,327,105,Right
Tatiana Kosheleva,Russia,31,1,67,191,324,302,12/23/1988,4495.45,19,328,96,Right
Simona Gioli,Italy,32,3,72,185,307,283,9/17/1977,4468.48,12,50,109,Right
Gözde Kırdar Bracceschi,Turkey,33,1,72,183,307,297,6/26/1985,4465.9,15,382,94,Right
Nootsara Tomkom,Thailand,34,4,57,169,289,278,7/7/1985,4449.55,30,331,139,
Caroline Gattaz,Brazil,35,3,82,191,315,299,7/27/1981,4444,15,321,129,
Mireya Luis,Cuba,36,1,63,173,339,325,8/23/1967,4393.1,14,29,68,
Maja Ognjenović,Serbia,37,3,68,183,300,293,8/6/1984,4382.99,11,385,123,
Elena Batukhtina-Tyurina,Russia,38,,,184,297,286,4/12/1971,4367.55,15,9,87,
Yuko Sano,Japan,39,5,54,159,260,250,7/26/1979,4362.1,35,67,80,
Danielle Lins,Brazil,40,4,68,183,290,276,1/5/1985,4290.9,16,306,127,Right
Naz Aydemir Akyol,Turkey,41,4,65,186,304,300,8/14/1990,4227.8,13,575,103,Right
Eleonora Lo Bianco,Italy,42,4,70,172,287,273,12/22/1979,4205,8,150,117,
Jaqueline Carvalho,Brazil,43,1,70,185,317,286,12/31/1983,4136,12,197,98,
Małgorzata Glinka-Mogentale,Poland,44,1,75,195,315,304,9/30/1978,4113.15,18,93,88,
Neslihan Demir,Turkey,45,2,70,187,312,300,12/9/1983,4047.03,21,481,100,Left
Fernanda Garay,Brazil,46,1,74,179,308,288,5/10/1986,4035.25,19,259,96,Right
Brayelin Martínez,Dominican Republic,46,1,83,201,330,320,9/11/1996,4035.25,36,240,105,
Christiane Fürst,Germany,47,3,79,194,308,305,3/29/1985,4014.15,20,270,96,
Jovana Brakočević-Canzian,Serbia,48,2,80,196,315,295,3/5/1988,3996,21,328,104,Right
Maja Poljak,Croatia,49,3,76,194,315,305,5/2/1983,3898.4,14,302,98,
Erika Araki,Japan,50,3,80,186,305,297,8/3/1984,3896.95,27,154,105,
Natalya Morozova,Russia,51,3,74,188,305,291,1/28/1973,3866.6,4,15,94,
Virna Dias,Brazil,52,1,70,184,306,294,8/31/1971,3795.85,16,44,76,
Isabelle Haak,Sweden,53,2,83,196,335,328,7/11/1999,3745.75,47,307,59,Right
Welissa Gonzaga,Brazil,54,1,76,179,300,286,9/9/1982,3724.83,12,220,115,
Irina Smirnova-Ilchenko,Russia,55,1,73,191,,,8/3/1968,3707.7,9,11,58,
Gabriela Pérez Del Solar,Peru,56,3,72,194,,,7/10/1968,3652.05,16,6,74,
Silvija Popović,Serbia,57,5,65,178,285,265,3/15/1986,3650.7,13,301,93,
Walewska Oliveira,Brazil,58,3,81,190,310,290,10/1/1979,3622.93,5,293,111,
Yumilka Ruiz,Cuba,59,1,62,179,329,315,5/8/1978,3615.1,15,31,78,
Foluke Akinradewo-Gunderson,USA,60,3,79,191,331,307,10/5/1987,3604,22,238,79,
Ana Moser,Brazil,61,1,70,185,310,290,8/14/1968,3594.7,15,24,71,
Logan Tom,USA,62,1,80,186,315,297,5/25/1981,3589,18,145,94,
Paola Cardullo,Italy,63,5,51,162,260,245,3/18/1982,3586.63,16,143,78,
Nancy Carrillo,Cuba,64,3,95,190,320,315,1/11/1986,3578.63,26,131,73,
Paula Pequeno,Brazil,65,1,74,184,302,285,1/22/1982,3558.3,9,184,108,
Kimberly Hill,USA,66,1,68,193,320,310,11/30/1989,3544.49,12,278,63,Right
Polina Rahimova,Azerbaijan,67,2,73,198,330,305,6/5/1990,3532.7,50,294,76,Right
Natalya Mammadova,Azerbaijan,68,1,79,198,330,302,12/2/1984,3529.55,41,271,93,Right
Victoria Ravva,France,69,3,75,190,315,304,10/30/1975,3529.35,7,322,99,
Danielle Scott-Arruda,USA,70,3,85,191,325,302,10/1/1972,3501.5,11,66,104,
Yoshie Takeshita,Japan,71,4,53,159,280,270,3/18/1978,3482.65,21,203,107,
Annerys Vargas,Dominican Republic,72,3,70,196,327,320,8/7/1981,3464.25,18,30,109,
Valentina Ogienko,Russia,73,3,72,182,,,5/26/1965,3456.5,4,517,201,
Angelina Hübner-Grün,Germany,74,1,74,185,309,287,12/2/1979,3439,17,66,89,
Hyo-Jin Yang,South Korea,75,3,71,190,315,300,12/14/1989,3433.45,32,208,71,Right
Mirka Francia,Cuba,76,1,73,184,324,310,2/14/1975,3415.4,8,103,71,
Robin De Kruijf,Netherlands,77,3,79,193,313,300,5/5/1991,3415.04,12,431,108,
Na Zhang,China,78,5,72,180,302,292,4/19/1980,3405.4,26,0,32,
Pleumjit Thinkaow,Thailand,79,3,67,180,303,283,11/9/1983,3376,22,292,129,
Lonneke Slöetjes,Netherlands,80,2,72,192,322,315,11/15/1990,3375.54,18,235,76,Left
Tandara Caixeta,Brazil,81,2,87,184,305,297,10/30/1988,3366.55,16,221,85,Right
Saori Kimura,Japan,82,1,65,185,308,300,8/19/1986,3362.15,23,97,88,Right
Joanna Wołosz,Poland,83,4,71,181,303,281,4/7/1990,3354.95,17,338,98,
Tatyana Gratcheva,Russia,84,4,,184,300,290,2/23/1973,3345.5,5,2,76,Right
Josefa Fabíola Souza,Brazil,85,4,70,184,300,285,2/3/1983,3327.9,9,359,110,
Prisilla Rivera,Dominican Republic,86,1,80,186,309,305,12/29/1984,3313.75,14,125,120,
Natalya Safronova,Russia,87,1,77,190,312,305,2/6/1979,3292.15,6,7,92,Right
Barbara Jelić-Ružić,Croatia,88,1,75,195,320,300,5/8/1977,3286.95,21,3,44,
Irina Koroleva,Russia,89,3,78,196,315,305,10/4/1991,3254.55,23,303,90,Right
Valeska Menezes,Brazil,90,3,62,180,302,290,4/23/1976,3253.25,10,257,98,
Anne Buijs,Netherlands,91,1,70,191,317,299,12/2/1991,3245.55,14,333,103,Right
Marianne Steinbrecher,Brazil,92,2,70,189,310,290,8/23/1983,3219.8,10,130,94,
Brankica Mihajlović,Serbia,93,1,83,190,316,302,4/13/1991,3216.96,10,330,96,
Yoon-Hee Chang,South Korea,94,1,,170,,,5/22/1970,3206,23,70,93,
Onuma Sittirak,Thailand,95,1,77,175,304,285,6/13/1986,3194.49,21,236,122,Right
Macris Carneiro,Brazil,96,4,64,178,292,275,3/3/1989,3192.75,17,324,79,
Hatice Gizem Örge,Turkey,97,5,59,170,270,260,4/26/1993,3168.99,17,547,81,Right
Zehra Güneş,Turkey,98,3,89,198,319,310,7/7/1999,3160.05,20,337,66,Right
Kübra Akman,Turkey,99,3,88,200,312,300,10/13/1994,3147.69,9,549,94,Right
Serena Ortolani,Italy,100,2,70,187,313,295,1/7/1987,3141.8,4,241,103,
Evgeniya Startseva,Russia,101,4,68,185,294,290,2/12/1989,3137.4,17,306,104,Right
Antonina Zetova,Bulgaria,102,2,75,195,317,301,9/7/1973,3119.95,10,71,95,Left
Anastasiya Kodirova-Belikova,Russia,103,3,78,190,306,300,7/22/1979,3090.25,9,3,75,
Carolina Costagrande,Italy,104,1,78,188,312,300,10/15/1980,3086.35,11,139,85,
Manuela Leggeri,Italy,105,3,74,186,312,281,5/9/1976,3084.6,9,33,86,
Áurea Cruz,Puerto Rico,106,1,63,180,310,290,1/10/1982,3072.1,32,140,98,
Katarzyna Skowrońska-Dolata,Poland,107,2,75,190,317,304,6/30/1983,3062.55,12,128,89,
Elena Chebukina-Ovchinnikova,Russia,108,3,77,190,,,10/11/1965,3053.35,3,6,76,
Nancy Metcalf,USA,109,2,75,186,314,292,11/12/1978,3052.75,17,66,77,Left
Kelsey Robinson-Cook,USA,110,1,75,188,306,300,6/25/1992,3050.79,12,390,72,Right
Stefana Veljković,Serbia,111,3,76,190,325,310,1/9/1990,3040.3,8,162,91,Right
Antonella Del Core,Italy,112,1,70,182,310,300,11/5/1980,3023.58,5,62,86,
Regla Torres,Cuba,113,3,75,193,331,315,2/12/1975,3020.68,10,107,72,
Henriëtte Weersing,Netherlands,114,1,,187,,,10/11/1965,3006.3,,,97,
Lucia Bosetti,Italy,115,1,65,175,310,290,7/9/1989,2995.7,7,334,95,
Simona Rinieri,Italy,116,1,83,189,307,285,9/1/1977,2993.6,8,8,89,
Gizem Güreşen,Turkey,117,5,60,178,290,285,1/14/1987,2985.65,7,546,84,
Nadia Centoni,Italy,118,2,68,185,320,308,6/19/1981,2970.35,10,460,110,
Nataša Osmokrović,Croatia,119,1,69,184,328,320,5/27/1976,2965.5,8,125,84,
Juciely Barreto,Brazil,120,3,72,184,312,289,12/18/1980,2945.25,6,312,95,
Carolina Albuquerque,Brazil,121,4,76,182,289,279,7/25/1977,2939.6,6,265,103,
Bojana Drča,Serbia,122,4,72,186,300,292,3/29/1988,2925.5,14,323,94,
Risa Shinnabe,Japan,123,2,66,173,295,268,7/11/1990,2911.15,21,152,64,
Bahar Toksoy Guidetti,Turkey,124,3,75,190,315,300,2/6/1988,2906.75,5,557,96,
Rosir Calderón,Cuba,125,1,76,191,330,325,12/28/1984,2898.13,16,231,83,Right
Stacy Sykora,USA,126,5,61,176,305,295,6/24/1977,2897.35,17,17,76,
Wilavan Apinyapong,Thailand,127,1,68,173,294,282,6/6/1984,2881.75,11,260,125,
Regla Bell,Cuba,128,1,73,180,326,313,7/6/1970,2877.33,8,35,57,Left
Gülden Kuzubaşıoğlu,Turkey,129,5,52,168,281,275,12/5/1980,2864.55,9,300,64,
Roberta Ratzke,Brazil,130,4,71,185,287,278,4/28/1990,2822.6,5,366,95,
Magaly Carvajal,Cuba,131,3,85,191,331,315,12/18/1968,2822.03,8,5,63,
Tatyana Menshova,Russia,132,1,,186,,,1/13/1970,2806.25,4,2,85,
Hae-Ran Kim,South Korea,133,5,57,168,280,270,3/16/1984,2805.5,22,182,73,
Michelle Bartsch-Hackley,USA,134,1,73,193,318,303,2/12/1990,2802.2,10,275,65,
Qiuyue Wei,China,135,4,80,183,305,300,9/26/1988,2795.2,11,20,68,
Jelena Nikolić,Serbia,136,1,79,192,315,300,4/13/1982,2773.15,3,276,107,
Kerstin Tzscherlich,Germany,137,5,72,179,295,282,2/15/1978,2772.85,20,12,73,
Ana Ibis Fernández,Cuba,138,3,,190,330,327,8/3/1973,2759.13,8,0,55,Right
Kun Feng,China,139,4,75,183,319,310,12/28/1978,2752.6,15,11,47,
Ana Bjelica,Serbia,140,2,78,190,310,305,4/3/1992,2718.35,12,350,92,
Manuela Benelli,Italy,141,4,,176,,,3/10/1963,2711.85,3,4,84,
Ana Flávia Sanglard,Brazil,142,3,78,187,299,290,1/20/1970,2704.6,8,1,57,
Anna Danesi,Italy,143,3,75,198,312,296,4/20/1996,2691.3,11,317,71,
Inessa Korkmaz,Russia,144,3,85,190,,,1/17/1972,2679.7,4,241,99,Right
Neriman Özsoy,Turkey,145,1,76,188,312,300,7/13/1988,2677.75,7,454,100,Right
Manon Nummerdor-Flier,Netherlands,146,2,73,192,315,308,2/8/1984,2675.05,12,10,106,
Di Yao,China,147,4,65,182,306,298,8/15/1992,2652.9,13,267,67,
Suelen Pinto,Brazil,148,5,81,166,265,238,10/4/1987,2632.65,8,307,94,
Valeriya Mammadova,Azerbaijan,149,5,68,174,286,272,1/29/1984,2626.2,20,104,69,
Natalia Hanikoğlu,Russia,150,1,,190,308,302,6/23/1975,2620.5,5,146,78,
Suhong Zhou,China,151,2,73,182,310,300,4/23/1979,2609,10,5,54,
Hao Yang,China,152,1,75,184,320,315,3/21/1980,2602.1,13,23,51,
Nicole Fawcett,USA,153,2,82,194,310,291,12/16/1986,2600.3,17,248,83,
Martina Guiggi,Italy,154,3,73,190,315,290,5/1/1984,2597.42,1,156,97,
Jenny Barazza,Italy,155,3,70,188,304,290,7/24/1981,2594.18,1,229,85,
So-Yeon Chang,South Korea,156,3,77,185,,,11/11/1974,2588.3,14,17,88,
Caterina Bosetti,Italy,157,1,62,179,310,292,2/2/1994,2578.35,8,268,74,Right
Lyudmila Buldakova,Russia,158,2,66,171,,,5/25/1938,2571,0,0,43,
Maria Borodakova,Russia,159,3,88,190,301,297,3/8/1986,2562.1,5,66,79,Right
Yonkaira Peña,Dominican Republic,160,1,70,190,320,300,5/10/1993,2561.9,9,235,107,
Arlene Xavier,Brazil,161,5,74,177,299,290,12/20/1969,2554.2,9,245,93,
Nataša Krsmanović,Serbia,162,3,73,188,307,304,6/19/1985,2549.85,2,212,91,
Dobriana Rabadzhieva,Bulgaria,163,1,72,190,311,299,6/14/1991,2540.59,10,545,101,
Marina Babeshina,Russia,164,4,62,181,302,295,6/26/1985,2540.5,8,256,96,Right
Ikumi Narita,Japan,165,1,67,173,299,276,1/1/1976,2539.55,18,34,62,
Kenia Carcaces,Cuba,166,1,69,190,323,310,1/22/1986,2537.25,14,240,77,
Svetlana Kryuchkova,Russia,167,5,63,170,290,286,2/21/1985,2536.9,7,258,88,
Floortje Meijners-Atsür,Netherlands,168,1,78,192,312,298,1/16/1987,2535.05,14,174,70,
Zoila Barros,Cuba,169,3,76,190,328,312,8/6/1976,2519.8,9,0,56,
Tatyana Sidorenko,Russia,170,1,,185,,,7/4/1966,2506.45,4,3,62,
Léia Silva,Brazil,171,5,60,168,268,257,3/1/1985,2505.75,8,328,78,
Paola Paggi,Italy,172,3,72,182,306,278,12/6/1976,2497.43,2,51,92,
Ekaterina Ulanova,Russia,173,5,61,170,298,290,8/5/1986,2487.35,8,126,77,
Erika Coimbra,Brazil,174,1,64,180,301,280,3/23/1980,2481.45,8,95,76,
Heather Bown,USA,175,3,,191,301,290,11/29/1978,2479.8,4,44,82,
Esra Gümüş,Turkey,176,1,71,181,305,297,10/2/1982,2479.15,5,266,72,
Seda Aslanyürek,Turkey,177,1,77,193,313,303,6/25/1986,2479,4,467,81,
Elisa Togut,Italy,178,2,70,192,320,295,5/14/1978,2474.5,7,4,72,
Ayse Melis Gürkaynak,Turkey,179,3,68,185,300,280,4/20/1990,2471.5,0,569,68,
Güldeniz Önal,Turkey,180,1,67,182,296,290,3/25/1986,2468.4,1,522,87,
Maike Arlt,Germany,181,1,,174,,,9/24/1963,2462.9,9,0,57,
Yelena Vasilevskaya,Russia,182,4,,176,296,290,2/27/1978,2462.65,10,1,55,
Monique Pavão,Brazil,183,2,67,178,294,285,10/31/1986,2457.6,2,328,101,
Maurizia Cacciatori,Italy,184,4,64,178,298,274,4/6/1973,2447.7,2,27,75,
Ana Antonijević,Serbia,185,4,70,185,295,283,8/26/1987,2446.82,4,439,99,
Lise Van Hecke,Belgium,186,2,73,192,308,287,7/1/1992,2432.2,20,253,73,
Dae-Young Jung,South Korea,187,3,71,183,303,292,8/12/1981,2431.1,12,229,87,
Susanne Lahme,Germany,188,3,77,186,290,280,9/10/1968,2421.9,5,42,92,
Miyu Nagaoka,Japan,189,2,65,179,308,303,7/25/1991,2413.95,13,300,79,Left
Maret Grothues,Netherlands,190,1,67,180,304,290,9/16/1988,2388.89,5,336,112,Left
Niverka Marte,Dominican Republic,191,4,71,178,295,283,10/19/1990,2386.55,8,85,92,
Francesca Ferretti,Italy,192,4,73,180,285,270,2/15/1984,2381.7,4,75,84,
Micha Hancock,USA,193,4,68,180,305,297,11/10/1992,2378.55,17,266,49,Left
Jovana Stevanović,Serbia,194,3,72,192,308,295,6/30/1992,2344.25,6,273,76,
Marina Nikulina-Pankova,Russia,195,4,78,180,,,3/3/1963,2337.3,2,3,59,
Olga Khrzhanovskaya,Russia,196,4,68,182,305,294,6/9/1980,2335.65,4,14,75,
Olesia Rykhliuk,Ukraine,197,2,83,196,316,304,12/11/1987,2335.55,21,358,79,
Dorota Świeniewicz,Poland,198,1,65,180,315,305,7/27/1972,2328.7,5,13,73,Right
Jie-Youn Nam,South Korea,199,5,63,172,285,273,5/25/1983,2327.45,15,220,74,
Elena Volkova,Russia,200,2,,190,,,6/13/1960,2324.7,1,0,50,
Marcia Cunha,Brazil,201,2,80,185,295,278,7/26/1969,2322.1,9,14,51,
Yimei Wang,China,202,1,87,190,318,305,1/11/1988,2321.1,14,206,78,
Ingrid Visser,Netherlands,203,3,74,190,314,298,7/4/1977,2317.7,2,20,95,
Karina Ocasio,Puerto Rico,204,2,76,192,298,288,8/1/1985,2309.63,19,114,86,
Yingying Li,,205,1,,,,,,2306.9,,,,
Megan Easy,USA,206,1,80,194,330,318,10/15/1988,2305.9,13,224,62,
Ana Beatriz Correa,Brazil,207,3,78,187,298,292,2/7/1992,2302.15,7,322,76,
Lindsey Berg,USA,208,4,75,173,287,274,7/16/1980,2301.9,8,59,65,
Alisha Glass Childress,USA,209,4,72,184,307,302,4/5/1988,2294.9,10,140,59,
Joyce Silva,Brazil,210,2,67,190,315,310,6/13/1984,2288.65,6,179,79,Right
Özlem Özçelik,Turkey,211,3,73,191,315,309,1/1/1972,2284.2,2,122,63,
Carmen țurlea,Romania,212,2,65,185,315,302,11/18/1975,2279.45,11,31,65,
Aleksandra Fomina,Ukraine,213,5,70,173,,,5/4/1975,2276.17,3,173,82,
Regiane Bidias,Brazil,214,1,74,190,304,286,10/2/1986,2268.15,5,281,89,
Irina Voronkova,Russia,215,1,85,190,310,300,10/20/1995,2256.27,10,317,81,
Saskia Hippe,Germany,216,2,67,185,315,292,1/16/1991,2254.17,13,185,80,
Prikeba Phipps,USA,217,1,80,190,319,303,6/30/1969,2254,4,1,57,
Ángela Leyva,Peru,218,1,70,182,312,306,11/22/1996,2253.05,27,225,74,Right
Margareta Kozuch,Germany,219,2,70,190,315,305,10/30/1986,2243.05,7,100,134,
Darina Mifková,Italy,220,1,,188,308,279,5/24/1974,2239.7,2,2,74,
Shan Li,China,221,2,72,185,,,5/21/1980,2238.9,6,225,82,
Soo-Jeong Park,South Korea,222,3,68,178,,,3/2/1972,2231.2,9,3,75,
Simge Şebnem Aköz,Turkey,223,5,55,168,250,245,4/23/1991,2223.1,7,432,69,
Samanta Fabris,Croatia,224,2,80,190,318,304,2/8/1992,2221.66,11,332,93,Right
Tomoko Yoshihara,Japan,225,3,,180,,,2/4/1970,2220.3,11,249,91,
Xinyue Yuan,China,226,3,78,201,317,311,12/21/1996,2217.6,9,298,68,Right
Sylvia Roll,Germany,227,1,,182,,,5/29/1973,2217.18,7,8,72,
Tara Cross-Battle,USA,228,1,76,180,302,301,9/16/1968,2216,7,12,65,
Yuki Ishii,Japan,229,1,68,180,305,287,5/8/1991,2210.6,9,272,82,
Malika Kanthong,Thailand,230,2,78,178,292,278,1/8/1987,2210.25,7,235,107,
Ana Margarida Álvares,Brazil,231,3,64,178,300,282,1/22/1965,2205.2,1,17,61,
Amanda Campos,Brazil,232,1,65,182,304,286,8/16/1988,2200.1,4,284,84,Right
Grit Naumann,Germany,233,3,,185,,,7/13/1966,2199.55,6,0,52,
Christina Schultz,Germany,234,3,,190,,,11/10/1969,2196.6,8,0,62,
Melissa Vargas Abreu,Cuba,235,2,76,194,326,315,10/16/1999,2192.25,23,307,55,Right
Büşra Kılıçlı,Turkey,236,3,78,186,298,295,7/16/1990,2184.05,4,517,77,
Denise Hanke,Germany,237,4,82,179,300,296,8/31/1989,2183.5,10,103,71,
Iryna Zhukova,Ukraine,238,4,70,179,290,270,11/22/1974,2182.45,9,25,63,
Miriam Sylla,Italy,239,1,80,181,320,302,1/8/1995,2175.8,5,272,64,
Mariola Zenik,Poland,240,5,65,175,300,295,7/3/1982,2171.3,9,36,80,
Valentina Diouf,Italy,241,2,100,203,324,306,1/10/1993,2170.55,15,309,60,
Çiğdem Can Rasna,Turkey,242,3,71,184,306,300,6/5/1976,2168.35,1,228,64,
Chiara Di Iulio,Italy,243,1,69,185,295,286,5/5/1985,2166.21,5,169,72,
Carli Lloyd,USA,244,4,73,179,313,295,8/6/1989,2152.4,8,236,62,
Cansu Özbay,Turkey,245,4,78,182,298,290,10/17/1996,2148.1,8,406,67,Left
Cecilia Tait,Peru,246,2,63,183,,,3/5/1962,2144.2,7,0,42,Left
Meryem Boz,Turkey,247,2,68,190,323,310,2/3/1988,2141.5,6,457,76,Right
Britt Herbots,Belgium,248,1,63,182,310,283,9/24/1999,2140.8,25,255,59,
Ajcharaporn Kongyot,Thailand,249,1,65,180,310,302,6/18/1995,2139.35,19,297,89,Right
Anna Werblińska,Poland,250,1,64,178,308,295,5/14/1984,2137.65,11,39,74,
Nihan Güneyligil,Turkey,251,5,68,172,280,276,2/7/1982,2130.9,5,491,74,
Piyanut Pannoy,Thailand,252,5,63,170,285,276,11/10/1989,2129.15,8,41,75,
Yanelis Santos,Cuba,253,2,69,181,324,304,3/30/1986,2122.94,14,82,59,
Karin Rodrigues,Brazil,254,3,77,187,309,285,9/8/1971,2103.04,2,6,66,
Priscila Daroit,Brazil,255,1,75,184,290,280,8/10/1988,2100.5,3,324,86,Right
Polen Uslupehlivan Ünver,Turkey,256,2,68,192,315,300,8/27/1990,2099.09,1,503,77,Left
Miyuki Takahashi,Japan,257,1,68,170,290,280,12/25/1978,2095.9,10,5,62,
Chiara Arcangeli,Italy,258,5,57,167,278,262,2/14/1983,2094.3,4,166,62,
Karine Salinas,France,259,4,70,176,290,280,3/5/1973,2094.25,3,61,68,
Lenka Bitter,Germany,260,5,59,171,280,270,12/10/1990,2093.8,10,111,85,
Cristina Chirichella,Italy,261,3,75,195,322,301,2/10/1994,2091.4,2,285,75,
Changning Zhang,China,262,1,80,195,315,303,11/6/1995,2089.4,14,168,52,
Sabrina Bertini,Italy,263,1,75,185,,,10/30/1969,2087.5,0,2,60,
Teodora Pušić,Serbia,264,5,58,170,270,260,3/12/1993,2084.27,7,151,73,
Nedime Elif Yarar,Turkey,265,4,72,186,292,290,2/10/1984,2082.7,3,246,56,
Raphaela Folie,Italy,266,3,73,186,324,305,3/7/1991,2082.3,2,345,70,Right
Hilma Caldeira,Brazil,267,1,63,183,312,284,1/5/1972,2078,7,0,42,
Irina Fetisova,Russia,268,3,76,190,307,286,9/7/1994,2073.37,7,327,76,Left
Gözde Yılmaz,Turkey,269,2,79,195,316,306,9/9/1991,2072.15,0,531,80,
Cilene Drewnick,Brazil,270,1,71,183,300,287,6/19/1967,2068.4,6,1,47,
Seniye Merve Dalbeler Aslan,Turkey,271,5,66,180,295,248,6/27/1987,2065.65,1,501,70,
Aneta Havlíčková,Czech Republic,272,2,96,190,316,300,7/3/1987,2063.75,11,270,71,
Agnieszka Bednarek-Kasza,Poland,273,3,69,185,310,295,2/20/1986,2056.8,5,104,76,
Ricarda Lima,Brazil,274,5,66,184,,,9/12/1970,2055.5,7,6,46,
Valentina Arrighetti,Italy,275,3,72,185,318,310,1/26/1985,2054.46,0,157,86,
Alessandra Zambelli,Italy,276,3,,180,,,12/14/1967,2050.88,0,3,57,
Renata Colombo,Brazil,277,2,80,182,305,293,2/25/1981,2049.65,7,290,93,
Motoko Obayashi,Japan,278,2,67,182,312,293,6/15/1967,2048.25,15,27,58,Left
Sandra Suruagy,Brazil,279,5,65,179,297,288,4/16/1963,2039.8,5,19,46,
Nadja Ninković,Serbia,280,3,77,193,307,298,11/1/1991,2027.1,6,294,87,
Rachael Adams,USA,281,3,81,190,315,307,6/3/1990,2026.4,6,282,56,
Ebrar Karakurt,Turkey,282,2,78,195,325,312,1/17/2000,2015.45,5,359,56,Right
Drussyla Costa,Brazil,283,1,76,183,298,284,7/1/1996,2015.1,5,292,70,
Marlenys Costa,Cuba,284,4,,177,,,7/30/1973,2008.5,3,0,32,
Anna Podkopaeva,Russia,285,5,59,175,286,290,4/16/1990,2006.75,12,275,65,
Lisvel Eve,Dominican Republic,286,3,90,194,325,315,9/10/1991,2006.5,15,61,72,Right
Eva Yaneva,Bulgaria,287,1,72,186,305,290,7/31/1985,1999.02,2,342,109,
Magdalena Śliwa,Poland,288,4,69,173,290,278,11/17/1969,1995,,,,
Suzana Ćebić,Serbia,289,5,60,167,279,255,11/9/1984,1994.47,2,37,81,
Wanna Buakaew,Thailand,290,5,54,172,,,1/2/1981,1993.74,11,246,103,
Meliha Diken,Turkey,291,1,73,187,301,235,9/17/1993,1989.46,0,482,83,Right
Ekaterina Pankova,Russia,292,4,71,175,275,270,2/2/1990,1976.7,3,140,66,Right
Gaila Gonzalez,Dominican Republic,293,2,73,188,304,276,6/22/1997,1976.5,19,149,62,
Saori Sakoda,Japan,294,1,63,175,305,279,12/18/1987,1976.25,11,32,59,
Jineiry Martínez,Dominican Republic,295,3,68,192,305,280,12/3/1997,1973.8,12,190,75,
Liliana Bernardi,Italy,296,1,,174,,,3/27/1960,1970,1,3,39,
Nneka Onyejekwe,Romania,297,3,75,189,319,301,8/18/1989,1967.1,,,,
Bianka Buša,Serbia,298,1,74,187,312,300,7/25/1994,1967,2,248,87,
Sa-Nee Kim,South Korea,299,4,72,180,302,292,6/21/1981,1966.35,7,110,75,Left
Destinee Hooker,USA,300,2,73,196,339,315,9/7/1987,1958.4,10,163,52,
