Name,Nationality,Ranking,Position,Weight (kg),Height (cm),Spike (cm),Block (cm),Birthdate,Points,Awards,Matches,Tournaments,Dominant hand,Added by
Earvin Ngapeth,France,22,1,96,194,358,327,1991-02-12,5282.35,28,624,104,1,Volleybox
Marko Podraščanin,Serbia,23,3,92,204,346,326,1987-08-29,5100.8,18,737,116,,Volleybox
Jenia Grebennikov,France,24,5,74,188,345,330,1990-08-13,5067.55,32,599,94,,Volleybox
Alessandro Fei,Italy,25,2,90,204,358,336,1978-11-29,5050.95,18,657,113,,Volleybox
Nikola Grbić,Serbia,26,4,91,195,346,330,1973-09-06,5007.44,11,720,149,,Volleybox
Murilo Endres,Brazil,27,1,76,190,343,321,1981-05-03,4999.6,13,376,100,1,Volleybox
Dante Amaral,Brazil,28,1,86,201,345,327,1980-09-30,4957.25,15,356,119,,Volleybox
Ivan Zaytsev,Italy,29,2,100,204,370,355,1988-10-02,4952.2,27,825,97,1,Volleybox
Andrea Gardini,Italy,30,3,78,202,,,1965-10-01,4948.4,4,531,155,,przemek16
Aleksandar Atanasijević,Serbia,31,2,92,200,360,338,1991-09-04,4915.69,32,473,96,1,Volleybox
Andrea Sartoretti,Italy,32,2,88,194,353,319,1971-06-19,4909.95,16,615,123,2,Volleybox
Mauricio Lima,Brazil,33,4,81,184,321,304,1968-01-27,4889.4,16,291,123,,Volleybox
Gustavo Endres,Brazil,34,3,,,,,1975-08-23,4861.05,15,233,94,,
Matthew Anderson,USA,35,1,100,204,360,332,1987-04-18,4821.69,19,422,94,,Volleybox
Dmitriy Fomin,Russia,36,2,97,200,,,1968-01-21,4820.15,13,358,129,,Volleybox
Luigi Mastrangelo,Italy,37,3,90,202,368,336,1975-08-17,4789.8,18,284,86,,Volleybox
Lucas Saatkamp,Brazil,38,3,101,209,360,340,1986-03-06,4698.55,12,410,106,1,Volleybox
Luca Cantagalli,Italy,39,1,,199,,,1965-12-08,4691.95,3,181,112,,Volleybox
Sergey Grankin,Russia,40,4,96,195,351,330,1985-01-21,4686.35,15,536,115,1,Volleybox
Ricardo Lucarelli,Brazil,41,1,90,196,355,340,1992-02-14,4680,21,416,83,1,Volleybox
Marco Bracci,Italy,42,2,,197,,,1966-08-23,4560.1,3,287,148,,Volleybox
Aleksandr Volkov,Russia,43,3,100,210,360,335,1985-02-14,4481.85,11,587,104,,Volleybox
Georg Grozer,Germany,44,2,102,200,374,345,1984-11-27,4376.56,26,366,105,,Volleybox
Aleksey Kuleshov,Russia,45,3,96,206,353,344,1979-02-24,4372.05,10,208,83,,Volleybox
Paolo Tofoli,Italy,46,4,68,188,345,321,1966-08-10,4246.55,5,327,121,,przemek16
Nalbert Bitencourt,Brazil,47,1,92,196,329,309,1974-03-09,4225.45,20,17,67,1,Volleybox
Hubert Henno,France,48,5,83,188,330,310,1976-10-06,4218.8,11,932,105,,Volleybox
Raphael Vieira de Oliveira,Brazil,49,4,86,190,317,306,1979-06-14,4206.6,6,538,108,,Volleybox
Valerio Vermiglio,Italy,50,4,85,193,342,320,1976-03-01,4206.35,4,324,115,,Volleybox
Paweł Zatorski,Poland,51,5,73,184,328,304,1990-06-21,4198.05,21,410,106,,Volleybox
Emanuele Birarelli,Italy,52,3,95,202,340,316,1981-02-08,4195.8,14,523,79,,Volleybox
Aleksandr Butko,Russia,53,4,89,198,329,327,1986-03-18,4111.65,8,500,98,,Volleybox
Simone Giannelli,Italy,54,4,80,200,363,335,1996-08-09,4040.6,16,534,76,1,soidensir3
Bas van de Goor,Netherlands,55,3,100,209,,,1971-09-04,3995.5,11,31,70,1,przemek16
Michał Kubiak,Poland,56,1,87,192,347,320,1988-02-23,3993.8,22,587,98,,Volleybox
Luciano De Cecco,Argentina,57,4,89,194,332,315,1988-06-02,3975.75,12,595,102,,Volleybox
Mirko Corsano,Italy,58,5,80,191,320,308,1973-10-28,3961.35,8,329,99,,przemek16
Artiom Volvich,Russia,59,3,96,213,350,330,1990-01-22,3959.2,12,481,89,,
Jochen Schöps,Germany,60,2,100,200,360,335,1983-10-08,3936.15,20,418,106,,Volleybox
Sergio Nogueira,Brazil,61,5,80,184,322,319,1978-08-25,3933.62,18,254,75,,Volleybox
Benjamin Toniutti,France,62,4,74,183,320,310,1989-10-30,3889.8,17,604,106,,Volleybox
Yuriy Berezhko,Russia,63,1,98,199,335,325,1984-01-27,3873.4,6,595,100,1,Volleybox
Clay Stanley,USA,64,2,104,205,357,332,1978-01-20,3868.2,17,182,70,,Volleybox
Nimir Abdel-Aziz,Netherlands,65,2,90,202,365,350,1992-02-05,3844.55,38,375,71,1,Volleybox
Lloy Ball,USA,66,4,89,203,351,316,1972-02-17,3749.2,15,145,76,,Volleybox
Aleksandr Savin,Russia,67,3,97,200,,,1957-07-01,3744,6,26,57,,
Pasquale Gravina,Italy,68,3,102,202,,,1970-05-01,3742.85,2,66,80,,Volleybox
Isac Santos,Brazil,69,3,99,208,340,306,1990-12-13,3722.3,9,359,92,,Volleybox
Marcos Milinkovic,Argentina,70,2,100,205,355,338,1971-12-22,3700.65,14,126,111,,
Vadim Khamuttskikh,Russia,71,4,82,197,327,310,1969-11-26,3697.9,4,182,90,,Volleybox
Andrea Zorzi,Italy,72,2,80,205,,,1965-07-29,3696.3,6,10,69,,przemek16
Sebastián Solé,Argentina,73,3,88,200,362,342,1991-06-12,3692.2,17,450,86,,Volleybox
Leandro Vissotto Neves,Brazil,74,2,105,212,365,345,1983-04-30,3685.4,13,463,97,,Volleybox
Peter Blangé,Netherlands,75,4,,,,,1964-12-09,3663.25,8,111,113,,
Srećko Lisinac,Serbia,76,3,79,205,370,355,1992-05-17,3660.1,16,409,87,1,Volleybox
Giovane Gávio,Brazil,77,1,89,196,340,322,1970-09-07,3638.2,6,232,118,,Volleybox
Andrea Lucchetta,Italy,78,3,80,200,,,1962-11-25,3634.05,2,18,75,,Volleybox
Vyacheslav Zaytsev,Russia,79,4,97,191,,,1952-11-12,3613.2,6,81,92,,Volleybox
Piotr Nowakowski,Poland,80,3,105,206,368,338,1987-12-18,3611.05,17,389,98,1,Volleybox
Éder Carbonera,Brazil,81,3,101,205,350,330,1983-10-19,3605.65,8,385,99,,Volleybox
Marco Meoni,Italy,82,4,77,196,335,320,1973-05-25,3602.6,5,257,87,,przemek16
Uroš Kovačević,Serbia,83,1,90,197,355,338,1993-05-06,3592.3,22,465,108,2,Volleybox
Andrija Gerić,Serbia,84,3,95,203,350,323,1977-01-24,3538.29,7,161,85,,
Ricardo Garcia,Brazil,85,4,89,191,337,320,1975-11-19,3528.6,6,348,96,2,Volleybox
Marcelo Negrão,Brazil,86,2,94,198,,,1972-10-10,3480.6,8,51,73,,przemek16
Fabio Vullo,Italy,87,4,,198,,,1964-09-01,3458.3,0,58,82,,Volleybox
Facundo Conte,Argentina,88,1,85,197,354,334,1989-08-25,3457.45,18,451,94,1,Volleybox
Nikolay Apalikov,Russia,89,3,103,203,353,344,1982-08-26,3456.85,7,291,82,,Volleybox
Alberto Cisolla,Italy,90,1,86,197,355,340,1977-10-17,3453.95,3,417,101,,Volleybox
Roman Yakovlev,Russia,91,2,101,202,342,328,1976-08-13,3443.2,5,413,108,,Volleybox
Maurício Souza,Brazil,92,3,93,209,344,323,1988-09-29,3440.95,11,310,79,,Volleybox
Krzysztof Ignaczak,Poland,93,5,86,188,335,315,1978-05-15,3432.59,8,207,97,,Volleybox
Paweł Zagumny,Poland,94,4,88,200,330,320,1977-10-18,3414.85,14,157,96,,Volleybox
Rodrigo Santana,Brazil,95,3,85,205,350,328,1979-04-17,3411.6,3,122,81,,Volleybox
Stéphane Antiga,France,96,1,94,200,344,321,1976-02-03,3406.25,4,812,137,,Volleybox
Maurício Borges,Brazil,97,1,99,199,335,315,1989-02-04,3405.7,12,368,92,,Volleybox
Seyed Mohammad Mousavi,Iran,98,3,86,203,362,344,1987-08-22,3381.7,20,134,76,1,Volleybox
Oh-Hyun Yeo,South Korea,99,5,70,175,280,279,1978-09-02,3373.8,27,630,113,,Volleybox
Marcelo Elgarten,Brazil,100,4,84,186,321,308,1974-11-09,3353.45,4,244,98,,Volleybox
Konstantin Ushakov,Russia,101,4,77,198,343,332,1970-03-24,3338.7,1,402,153,,Volleybox
Luiz Felipe Fonteles,Brazil,102,1,93,197,351,338,1984-06-19,3325.75,13,429,90,,Volleybox
Hristo Zlatanov,Italy,103,1,103,204,355,315,1976-04-21,3323.6,6,579,103,,Volleybox
André Nascimento,Brazil,104,2,,,,,1979-03-04,3306.7,8,266,79,,
Alexey Kazakov,Russia,105,3,112,217,358,344,1976-03-18,3289.2,3,361,106,,Volleybox
Ron Zwerver,Netherlands,106,1,93,200,,,1967-06-06,3286.9,8,142,111,,przemek16
Micah Christenson,USA,107,4,88,198,349,340,1993-05-08,3256.03,19,407,63,,Volleybox
John Gordon Perrin,Canada,108,1,95,201,358,329,1989-08-17,3241.65,40,379,74,,Volleybox
Alexis Ruben González,Argentina,109,5,85,184,321,300,1981-07-21,3240.62,17,400,101,,Volleybox
Evandro Guerra,Brazil,110,2,103,207,359,332,1981-12-27,3240.05,10,313,88,,
Łukasz Żygadło,Poland,111,4,91,201,342,321,1979-08-02,3213,3,359,104,,
Vigor Bovolenta,Italy,112,3,91,202,358,345,1974-05-30,3210.35,0,184,85,,Volleybox
Dragan Stanković,Serbia,113,3,94,205,355,333,1985-10-18,3205.76,4,633,97,1,Volleybox
Aleksandr Kosarev,Russia,114,1,95,203,339,328,1977-09-30,3201.35,1,511,101,,Volleybox
Rafael Pascual,Spain,115,1,88,196,355,329,1970-03-16,3194.34,8,117,98,,Volleybox
Alessandro Farina,Italy,116,5,80,182,342,310,1976-05-16,3190.65,4,325,79,,Volleybox
Ruslan Olikhver,Russia,117,3,91,201,,,1969-04-11,3176.25,3,151,102,,Volleybox
Teodor Salparov,Bulgaria,118,5,77,187,320,305,1982-08-16,3164.53,7,382,131,,Volleybox
Pavel Abramov,Russia,119,1,87,200,347,336,1979-04-23,3132.55,13,102,62,,Volleybox
Luca Tencati,Italy,120,3,97,200,350,330,1979-03-16,3119.25,3,413,76,,soidensir3
Semion Poltavskiy,Russia,121,2,89,205,360,338,1981-02-08,3116.85,10,153,67,1,Volleybox
Massimo Colaci,Italy,122,5,75,185,320,290,1985-02-21,3111.18,2,714,84,,soidensir3
Erik Shoji,USA,123,5,83,184,330,321,1989-08-24,3103.05,16,345,73,,Volleybox
Mikiyasu Tanaka,Japan,124,1,87,195,330,,1955-03-18,3053.75,27,153,135,1,sitenoise
Michał Winiarski,Poland,125,1,82,200,355,332,1983-09-28,3034.15,9,552,107,,Volleybox
Gilson Bernardo,Brazil,126,2,94,194,,,1968-02-20,2978.15,23,96,51,,Volleybox
André Heller,Brazil,127,3,93,199,339,321,1975-12-17,2970.1,3,389,107,,Volleybox
Miguel Angel López,Cuba,128,1,83,190,372,350,1997-03-25,2967.85,26,161,60,1,marciovolley
Marcin Możdżonek,Poland,129,3,104,212,360,340,1985-02-09,2953.55,5,252,84,,Volleybox
Leonel Marshall,Cuba,130,1,86,196,383,343,1979-09-25,2932.4,13,344,72,1,Volleybox
Marko Ivović,Serbia,131,1,92,194,350,330,1990-12-22,2931.03,15,431,78,1,Volleybox
Damiano Pippi,Italy,132,5,,194,325,305,1971-08-23,2923.25,3,115,72,,Volleybox
David Smith,USA,133,3,86,202,360,345,1985-05-15,2920.65,10,513,92,,Volleybox
Arslan Ekşi,Turkey,134,4,93,196,310,295,1985-07-17,2914.44,18,337,97,,sait864
Gavin Schmitt,Canada,135,2,106,208,372,340,1986-01-27,2906.75,24,262,62,1,Volleybox
Taras Khtey,Russia,136,1,105,205,347,325,1982-05-22,2906.55,2,341,88,1,Volleybox
Pavel Pankov,Russia,137,4,90,198,345,330,1995-08-14,2898.45,18,392,62,,Volleybox
Cristian Savani,Italy,138,1,95,195,354,335,1982-02-22,2889.05,14,363,70,,Volleybox
Karol Kłos,Poland,139,3,87,201,360,330,1989-08-08,2887.85,5,416,93,,Volleybox
Sidnei Santos,Brazil,140,3,98,203,344,318,1982-07-09,2877.7,4,249,78,,Volleybox
Wout Wijsmans,Belgium,141,1,96,201,352,335,1977-07-17,2876.6,12,401,75,,
Andrey Egorchev,Russia,142,3,117,206,332,315,1978-02-08,2861.6,1,177,74,,Volleybox
Vladimir Nikolov,Bulgaria,143,2,95,200,345,325,1977-10-03,2848.75,7,529,98,1,Volleybox
Taylor Sander,USA,144,1,80,193,358,330,1992-03-17,2838.53,13,260,66,1,Volleybox
Pavel Kruglov,Russia,145,2,90,205,351,342,1985-09-17,2837.35,7,481,87,1,soidensir3
Maxwell Holt,USA,146,3,90,208,351,333,1987-03-12,2833.3,11,452,71,,Volleybox
Evgeniy Sivozhelez,Russia,147,1,90,196,330,320,1986-08-06,2832.1,3,493,85,,Volleybox
David Lee,USA,148,3,105,203,350,325,1982-03-08,2820.15,9,158,77,,Volleybox
Miguel Angel Falasca,Spain,149,4,90,194,345,322,1973-04-29,2812.62,5,303,111,,Volleybox
Amauri Ribeiro,Brazil,150,3,87,198,,,1959-01-23,2786.35,2,0,66,,Volleybox
Claudio Galli,Italy,151,3,,195,,,1965-07-12,2774.2,2,4,61,,marciovolley
Thales Hoss,Brazil,152,5,80,190,320,303,1989-04-27,2771.7,12,340,78,,Volleybox
Filippo Lanza,Italy,153,1,98,198,350,330,1991-03-03,2766,5,583,72,,Volleybox
Franco Bertoli,Italy,154,1,83,192,,,1959-04-29,2765.2,1,41,67,,Volleybox
Cristian Casoli,Italy,155,1,85,192,345,315,1975-01-27,2758.04,1,313,86,,Volleybox
Demián González,Argentina,156,4,81,192,328,318,1983-02-21,2752.05,9,278,98,,Volleybox
Nikolay Pavlov,Ukraine,157,2,92,196,342,321,1982-05-22,2748.9,16,253,67,1,
José Montanaro,Brazil,158,1,81,187,,,1958-06-29,2738.45,2,78,90,,Volleybox
Alan Souza,Brazil,159,2,98,202,367,343,1994-03-21,2732.8,13,317,67,1,mvs
Wolfgang Kuck,Germany,160,1,,197,,,1967-10-12,2728.75,14,336,78,,franzvinci01
Piotr Gruszka,Poland,161,1,105,206,354,325,1977-03-08,2726.3,4,311,103,,Volleybox
Osvaldo Hernández,Cuba,162,2,91,202,,,1970-07-11,2708.9,10,252,53,,Volleybox
João Paulo Bravo,Brazil,163,1,87,193,340,320,1979-01-07,2704.25,4,433,96,,Volleybox
Davide Bellini,Italy,164,4,,197,,,1969-05-20,2691.7,0,59,74,,soidensir3
Fabian Drzyzga,Poland,165,4,95,196,343,325,1990-01-03,2691.6,8,354,95,,Volleybox
Filipe Ferraz,Brazil,166,1,92,194,345,335,1980-03-01,2685.35,2,400,106,,
Goran Vujević,Montenegro,167,1,94,192,335,315,1973-02-27,2685.05,5,431,86,,Volleybox
Andrey Ashchev,Russia,168,3,105,202,350,338,1983-05-10,2676.9,4,312,73,,Volleybox
Renan Dal Zotto,Brazil,169,1,,190,,,1960-07-19,2666.55,3,340,131,,Volleybox
William Priddy,USA,170,1,89,194,353,330,1977-10-01,2655.45,4,186,79,,Volleybox
Vladimir Grbić,Serbia,171,1,87,193,330,310,1970-12-14,2647.84,2,63,72,,Volleybox
Jiří Kovář,Italy,172,1,95,202,353,330,1989-04-10,2646.54,5,621,73,,Volleybox
Antônio Carlos Gouveia,Brazil,173,3,,198,,,1965-04-20,2644.2,1,10,62,,Volleybox
Rodrigo Leão,Brazil,174,1,83,199,331,316,1996-06-05,2638,6,352,80,,mvs
Emre Batur,Turkey,175,3,94,202,340,330,1988-04-21,2612.69,11,267,76,,Volleybox
Thiago Alves,Brazil,176,1,88,194,330,308,1986-07-26,2606.25,9,217,70,,Volleybox
Igor Shulepov,Russia,177,1,99,203,340,310,1972-11-16,2605.85,3,265,101,,Volleybox
Todor Aleksiev,Bulgaria,178,1,105,204,355,340,1983-04-21,2605,6,329,108,,Volleybox
Ernardo Gómez,Venezuela,179,2,90,195,355,350,1982-07-30,2591.99,14,265,86,,
Fernando Kreling,Brazil,180,4,85,185,320,302,1996-01-13,2584.25,7,341,73,,mvs
Pablo Meana,Argentina,181,5,86,187,,,1975-06-10,2581.05,14,76,59,,
Konstantínos Christofidélis,Greece,182,1,96,195,358,338,1977-06-26,2578.9,6,633,119,,Volleybox
Dragan Travica,Italy,183,4,94,200,335,320,1986-08-28,2576.2,4,544,81,,Volleybox
Dawid Konarski,Poland,184,2,101,198,350,335,1989-08-31,2570.15,13,339,72,1,Volleybox
Antonin Rouzier,France,185,2,100,201,350,330,1986-08-18,2564.45,9,550,78,1,Volleybox
Marcus Böhme,Germany,186,3,116,211,360,330,1985-08-25,2564.15,9,356,99,,Volleybox
Fabio Balaso,Italy,187,5,79,178,310,290,1995-10-20,2558.3,14,378,56,,Volleybox
Ferdinando De Giorgi,Italy,188,4,,178,,,1961-10-10,2528.45,1,621,143,,Volleybox
Evgeniy Mitkov,Russia,189,5,89,194,352,341,1972-03-23,2528.35,3,441,111,,marciovolley
Anderson Rodrigues,Brazil,190,2,95,190,330,321,1974-05-21,2513.5,5,347,92,,Volleybox
Mitar Djuric,Greece,191,3,115,211,365,340,1989-04-25,2509.15,15,642,96,1,Volleybox
Tine Urnaut,Slovenia,192,1,87,199,365,345,1988-09-03,2505.05,3,555,96,1,Volleybox
Andrea Bari,Italy,193,5,81,185,327,310,1980-03-05,2498.45,5,387,67,,Volleybox
Dmitriy Ilinykh,Russia,194,1,92,201,338,330,1987-01-31,2494.3,4,513,87,,Volleybox
Burutay Subaşı,Turkey,195,1,99,194,340,330,1990-07-15,2491.65,12,318,84,,Volleybox
Gilmar Teixeira,Brazil,196,2,93,198,,,1970-10-30,2485.1,5,59,63,,Volleybox
Jan Posthuma,Netherlands,197,3,96,209,,,1963-06-11,2476.25,9,10,46,,Volleybox
Dmitriy Volkov,Russia,198,1,88,202,351,338,1995-05-25,2473.15,16,341,50,1,soidensir3
Martin Ramos,Argentina,199,3,95,197,348,328,1991-08-26,2468.94,8,190,79,1,
Jin-Sik Shin,South Korea,200,1,80,188,337,335,1975-02-01,2462,17,207,90,,przemek16
Dmitriy Shcherbinin,Russia,201,3,95,205,350,335,1989-09-10,2460.2,6,510,75,1,soidensir3
Nicolás Uriarte,Argentina,202,4,82,192,346,326,1990-03-21,2451.6,8,436,83,,Volleybox
Vladislav Babichev,Russia,203,5,72,185,328,320,1981-02-18,2449.2,0,302,68,,Volleybox
Otávio Pinto,Brazil,204,3,97,202,350,327,1991-02-27,2444.55,11,346,75,,Volleybox
Hugo Conte,Argentina,205,1,90,197,,,1963-04-14,2437.25,6,50,73,,Volleybox
Douglas Chiarotti,Brazil,206,3,105,201,,,1970-11-10,2436.55,4,72,79,,Volleybox
Ilya Savelyev,Russia,207,1,90,202,,,1971-06-10,2436,7,58,62,,soidensir3
Guido Görtzen,Netherlands,208,2,90,202,345,331,1970-11-09,2430.95,6,115,76,,Volleybox
Angel Dennis,Cuba,209,2,89,194,358,335,1977-06-13,2419.09,8,333,72,2,
Evgeny Krasilnikov,Russia,210,4,,191,,,1965-04-07,2410.9,3,2,71,,Volleybox
Igor Omrčen,Croatia,211,2,106,208,375,330,1980-09-26,2404.95,12,365,80,,Volleybox
Mário Júnior,Brazil,212,5,91,192,330,321,1982-05-03,2401.25,8,183,62,,Volleybox
Yury Panchenko,Russia,213,2,,198,,,1959-02-05,2400.5,0,167,101,,Volleybox
Se-Jin Kim,South Korea,214,2,83,197,,,1974-01-30,2398.8,15,131,71,2,Volleybox
Simone Parodi,Italy,215,1,82,196,350,335,1986-06-16,2394,7,645,71,,Volleybox
Saeid Marouflakrani,Iran,216,4,81,189,331,311,1985-10-09,2393.6,12,174,67,1,przemek16
Jan Štokr,Czech Republic,217,2,110,205,368,341,1983-01-16,2380.81,8,364,76,,Volleybox
Kunihiro Shimizu,Japan,218,2,97,193,345,335,1986-08-11,2370.4,14,323,77,2,Volleybox
Aleksandr Bogomolov,Russia,219,3,95,208,341,332,1976-02-01,2365.85,1,271,77,,Volleybox
Alexandre Samuel,Brazil,220,1,86,197,,,1970-03-20,2359.4,3,0,58,,przemek16
Aléxis Valido,Spain,221,5,85,188,325,312,1976-03-09,2347.55,10,137,86,,marciovolley
Mateusz Bieniek,Poland,222,3,105,208,365,330,1994-04-05,2345.5,9,347,66,,przemek16
Liberman Agamez,Colombia,223,2,100,207,365,357,1985-02-15,2333.05,16,376,66,1,Volleybox
Douglas Souza,Brazil,224,1,75,199,345,319,1995-08-20,2331.4,7,306,64,,Volleybox
Francesco Dall'Olio,Italy,225,4,,186,,,1953-12-30,2322.95,0,128,103,,franzvinci01
Valentin Golubev,Russia,226,5,70,190,310,305,1992-05-03,2318.55,4,396,65,,soidensir3
Denis Kaliberda,Germany,227,1,95,193,343,314,1990-06-24,2316.55,5,368,87,1,Volleybox
Markus Steuerwald,Germany,228,5,85,182,340,328,1989-03-07,2309.75,9,450,82,,przemek16
Dawid Murek,Poland,229,1,100,196,337,315,1977-07-21,2309.2,7,308,85,,Volleybox
Valery Losev,Kyrgyzstan,230,4,89,199,,,1956-02-28,2308.8,0,27,96,2,John Doe
Vladimir Kondra,Russia,231,1,,185,,,1950-11-16,2305.6,1,153,114,,slintyen
Viktor Yosifov,Bulgaria,232,3,100,204,350,340,1985-10-16,2290.24,10,440,72,,Volleybox
Aleksandr Gerasimov,Russia,233,2,92,201,352,341,1975-01-22,2274.35,3,343,92,,soidensir3
Matej Černič,Italy,234,1,80,192,354,335,1978-09-13,2273.7,4,160,78,,Volleybox
Stanislav Dineykin,Russia,235,1,87,201,330,320,2002-09-15,2273.5,1,116,15,1,S…k
Lukáš Ticháček,Czech Republic,236,4,84,193,328,324,1982-01-12,2270.65,6,386,86,,Volleybox
Viktor Poletaev,Russia,237,2,86,198,370,340,1995-07-27,2266.7,13,381,57,2,Volleybox
Michał Ruciak,Poland,238,5,82,190,336,318,1983-08-22,2262.95,5,327,82,,Volleybox
Bogdan Jalowietzki,Germany,239,3,97,202,352,,1967-12-13,2256.1,9,96,75,,Gerdy Geleyn
Nicolas Le Goff,France,240,3,97,203,346,316,1992-02-15,2250.92,8,395,74,,Volleybox
Grzegorz Łomacz,Poland,241,4,81,187,336,309,1987-10-01,2249.2,1,363,91,,Volleybox
Alessandro Paparoni,Italy,242,1,75,191,340,314,1981-08-17,2248.3,4,413,71,,Volleybox
Sebastian Świderski,Poland,243,1,87,193,355,327,1977-06-26,2247.5,4,718,129,,Volleybox
Aleksey Ostapenko,Russia,244,3,94,208,355,340,1986-05-26,2246.25,4,347,70,,Volleybox
Yaroslav Antonov,Russia,245,2,95,198,,,1963-01-10,2245.6,2,384,103,,Volleybox
Sergey Makarov,Russia,246,4,97,196,337,329,1980-03-28,2236.65,0,411,84,,Volleybox
Giacomo Giretto,Italy,247,3,,206,,,1973-01-05,2231.65,1,165,62,,soidensir3
Sergey Baranov,Russia,248,2,96,208,354,330,1981-08-10,2227.2,2,337,66,,Volleybox
Daniel Pliński,Poland,249,3,100,204,350,330,1978-12-10,2219.45,5,356,85,,Volleybox
Artiom Ermakov,Russia,250,5,80,188,323,313,1982-03-16,2219.2,2,305,67,,Volleybox
Luca Vettori,Italy,251,2,95,200,360,338,1991-04-26,2217.58,5,439,59,1,Volleybox
Riad Ribeiro,Brazil,252,3,95,205,350,335,1981-10-02,2213.55,1,518,81,,Volleybox
Aleksander Śliwka,Poland,253,1,83,196,342,332,1995-05-24,2211.77,9,372,71,2,Volleybox
Simone Rosalba,Italy,254,2,,197,345,316,1976-01-31,2207.6,3,115,59,,soidensir3
Aleksandr Gutsalyuk,Russia,255,3,105,205,362,345,1988-01-15,2204.25,3,405,65,,Volleybox
Rudi Schumann,Germany,256,3,82,184,,,1947-02-15,2195.25,2,11,46,1,John Doe
Vasílis Kournétas,Greece,257,4,84,191,345,334,1976-08-02,2193.39,4,425,98,,Volleybox
Alan Domingos,Brazil,258,5,89,190,354,323,1980-02-15,2192.06,6,171,69,,Volleybox
Yung-Suk Shin,South Korea,259,3,90,198,335,325,1986-10-04,2189.9,19,357,73,1,przemek16
Oleg Shatunov,Russia,260,3,100,204,,,1967-02-20,2187.85,3,2,56,,Volleybox
Piotr Gacek,Poland,261,5,80,185,320,305,1978-09-16,2182.25,5,256,77,,
Plamen Konstantinov,Bulgaria,262,1,93,202,347,330,1973-06-14,2165.25,6,685,146,,Volleybox
Aaron Russell,USA,263,1,95,205,365,340,1993-06-04,2161.45,9,389,52,1,soidensir3
Nemanja Petrić,Serbia,264,1,86,202,350,320,1987-07-28,2149.7,4,405,77,1,Volleybox
Oliver Kieffer,France,265,3,85,200,355,335,1979-08-27,2144.3,5,523,64,,przemek16
Slobodan Boškan,Serbia,266,1,87,197,343,320,1975-08-18,2141.8,0,594,130,,Volleybox
Alexey Obmochaev,Russia,267,5,80,188,325,310,1989-05-22,2139.35,5,436,61,,Volleybox
Kévin Le Roux,France,268,3,95,209,365,345,1989-05-11,2138.7,4,476,82,,Volleybox
Marko Klok,Netherlands,269,1,86,193,,,1968-03-14,2137.64,4,249,118,,Volleybox
Elvis Contreras,Dominican Republic,270,1,94,188,363,330,1979-07-20,2132.15,13,128,61,,Volleybox
Igor Kobzar,Russia,271,4,86,198,337,315,1991-04-13,2131.95,1,428,70,,Volleybox
Aleksandr Abrosimov,Russia,272,3,98,207,341,325,1983-08-25,2131.8,5,363,75,,Volleybox
Igor Runov,Russia,273,3,98,203,,,1963-02-08,2129.4,0,23,49,,marciovolley
