Name,Added by,Awards,Block,Points,Classificação do jogador,Adicionado por,Wzrost,Matches,Wyświetlenia,Pozycja,Spike,Player ranking,Zasięg w ataku,Nacionalidade,Visualizações,Data urodzenia,Posição,Ranking in 2023,Nationality,Ranking,Position,Ranking siatkarza,Waga,Last activity,Birthdate,Height,Dominant hand,Narodowość,Altura,Ranking trenera,Zasięg w bloku,Dodano przez,Data de nascimento,Views,Peso,Tournaments,Ranking w 2023,Weight,Ręka,Coach ranking,Classificação de treinador
Andrea Gardini,przemek16,4,,4948.40,,,,531,,,,30,,,,,,,Italy,,Middle-blocker,,,,1965-10-01,202,,,,,,,,17401,,156,,78,,196,
Aleksandar Atanasijević,Volleybox,32,338,4915.69,,,,509,,,360,,,,,,,173,Serbia,31,Opposite,,,,1991-09-04,200,Right,,,,,,,57965,,99,,92,,,
Andrea Sartoretti,Volleybox,16,319,4909.95,,,,615,,,353,32,,,,,,,Italy,,Opposite,,,,1971-06-19,194,Left,,,,,,,11797,,123,,88,,,
Mauricio Lima,Volleybox,17,304,4889.40,,,,291,,,321,33,,,,,,,Brazil,,Setter,,,,1968-01-27,184,,,,,,,,12441,,123,,81,,,
Gustavo Endres,Volleybox,15,325,4861.05,,,,233,,,337,34,,,,,,,Brazil,,Middle-blocker,,,,1975-08-23,203,,,,,,,,14383,,94,,98,,,
Matthew Anderson,Volleybox,19,332,4821.69,,,,449,,,360,,,,,,,,USA,35,Outside Hitter,,,,1987-04-18,204,,,,,,,,80395,,100,,100,,,
Dmitriy Fomin,Volleybox,13,,4820.15,,,,367,,,,36,,,,,,,Russia,,Opposite,,,,1968-01-21,200,,,,,,,,14207,,130,,97,,1597,
Luigi Mastrangelo,Volleybox,18,336,4789.80,,,,284,,,368,,,,,,,,Italy,37,Middle-blocker,,,,1975-08-17,202,,,,,,,,13286,,86,,90,,,
Lucas Saatkamp,Volleybox,12,340,4698.55,,,,410,,,360,,,,,,,16,Brazil,38,Middle-blocker,,,,1986-03-06,209,Right,,,,,,,35023,,108,,101,,,
Luca Cantagalli,Volleybox,3,,4691.95,,,,181,,,,39,,,,,,,Italy,,Outside Hitter,,,,1965-12-08,199,,,,,,,,9340,,112,,,,1863,
Sergey Grankin,Volleybox,15,330,4686.35,,,,536,,,351,,,,,,,,Russia,40,Setter,,,,1985-01-21,195,Right,,,,,,,26881,,116,,96,,,
Ricardo Lucarelli,Volleybox,22,340,4680.00,,,,416,,,355,,,,,,,76,Brazil,41,Outside Hitter,,,,1992-02-14,196,Right,,,,,,,47507,,85,,90,,,
Marco Bracci,Volleybox,3,,4560.10,,,,293,,,,42,,,,,,,Italy,,Opposite,,,,1966-08-23,197,,,,,,,,7782,,148,,,,420,
Aleksandr Volkov,Volleybox,11,335,4481.85,,,,588,,,360,43,,,,,,,Russia,,Middle-blocker,,,,1985-02-14,210,,,,,,,,25739,,105,,100,,,
Georg Grozer,Volleybox,26,345,4376.56,,,,380,,,374,,,,,,,,Germany,44,Opposite,,,,1984-11-27,200,,,,,,,,77475,,105,,102,,,
Aleksey Kuleshov,Volleybox,10,344,4372.05,,,,208,,,353,45,,,,,,,Russia,,Middle-blocker,,,,1979-02-24,206,,,,,,,,10215,,83,,96,,,
Paolo Tofoli,przemek16,5,321,4246.55,,,,340,,,345,46,,,,,,,Italy,,Setter,,,,1966-08-10,188,,,,,,,,8003,,121,,68,,1146,
Nalbert Bitencourt,Volleybox,20,309,4225.45,,,,21,,,329,,,,,,,,Brazil,47,Outside Hitter,,,,1974-03-09,196,Right,,,,,,,10160,,68,,92,,,
Hubert Henno,Volleybox,11,310,4218.80,,,,951,,,330,48,,,,,,,France,,Libero,,,,1976-10-06,188,,,,,,,,17133,,105,,83,,2346,
Raphael Vieira de Oliveira,Volleybox,6,306,4206.60,,,,538,,,317,,,,,,,338,Brazil,49,Setter,,,,1979-06-14,190,,,,,,,,23589,,108,,86,,,
Valerio Vermiglio,Volleybox,4,320,4206.35,,,,324,,,342,50,,,,,,,Italy,,Setter,,,,1976-03-01,193,,,,,,,,14599,,115,,85,,,
Paweł Zatorski,,,,4198.05,,,184,,19165,Libero,,,328,,,1990-06-21,,,,51,,,73,,,,,Polska,,,304,Volleybox,,,,,326,,,,
Emanuele Birarelli,Volleybox,14,316,4195.80,,,,523,,,340,,,,,,,,Italy,52,Middle-blocker,,,,1981-02-08,202,,,,,,,,11043,,79,,95,,,
Aleksandr Butko,Volleybox,8,327,4111.65,,,,507,,,329,,,,,,,,Russia,53,Setter,,,,1986-03-18,198,,,,,,,,22978,,99,,89,,,
Simone Giannelli,soidensir3,16,335,4040.60,,,,534,,,363,,,,,,,91,Italy,54,Setter,,,,1996-08-09,200,Right,,,,,,,65774,,78,,80,,,
Bas van de Goor,przemek16,11,,3995.50,,,,31,,,,,,,,,,,Netherlands,55,Middle-blocker,,,,1971-09-04,209,Right,,,,,,,11989,,70,,100,,,
Michał Kubiak,,,,3993.80,,,192,,52354,Przyjmujący,,,347,,,1988-02-23,,,,56,,,87,,,,,Polska,,,320,Volleybox,,,,,,,,,
Luciano De Cecco,Volleybox,13,315,3975.75,,,,595,,,332,,,,,,,143,Argentina,57,Setter,,,,1988-06-02,194,,,,,,,,47570,,104,,89,,,
Mirko Corsano,przemek16,8,308,3961.35,,,,329,,,320,58,,,,,,,Italy,,Libero,,,,1973-10-28,191,,,,,,,,7228,,99,,80,,1374,
Artiom Volvich,,,,3959.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jochen Schöps,Volleybox,20,335,3936.15,,,,418,,,360,,,,,,,,Germany,60,Opposite,,,,1983-10-08,200,,,,,,,,20363,,106,,100,,,
Sergio Nogueira,Volleybox,18,319,3933.62,,,,254,,,322,,,,,,,,Brazil,61,Libero,,,,1978-08-25,184,,,,,,,,9477,,75,,80,,,
Benjamin Toniutti,Volleybox,17,310,3889.80,,,,604,,,320,,,,,,,270,France,62,Setter,,,,1989-10-30,183,,,,,,,,38229,,107,,74,,,
Yuriy Berezhko,Volleybox,6,325,3873.40,,,,608,,,335,,,,,,,,Russia,63,Outside Hitter,,,,1984-01-27,199,Right,,,,,,,19853,,100,,98,,,
Clay Stanley,Volleybox,17,332,3868.20,,,,182,,,357,,,,,,,,USA,64,Opposite,,,,1978-01-20,205,,,,,,,,20112,,70,,104,,,
Nimir Abdel-Aziz,Volleybox,39,350,3844.55,,,,389,,,365,,,,,,,29,Netherlands,65,Opposite,,,,1992-02-05,202,Right,,,,,,,97193,,73,,90,,,
Lloy Ball,Volleybox,16,316,3749.20,,,,145,,,351,,,,,,,,USA,66,Setter,,,,1972-02-17,203,,,,,,,,14195,,76,,89,,,
Aleksandr Savin,,,,3744.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasquale Gravina,Volleybox,2,,3742.85,,,,66,,,,,,,,,,,Italy,68,Middle-blocker,,,,1970-05-01,202,,,,,,,,4958,,80,,102,,,
Isac Santos,Volleybox,9,306,3722.30,,,,368,,,340,,,,,,,520,Brazil,69,Middle-blocker,,,,1990-12-13,208,,,,,,,,25919,,96,,99,,,
Marcos Milinkovic,,14,338,3700.65,,,,126,,,355,70,,,,,,,Argentina,,Opposite,,,2 months ago,1971-12-22,205,,,,,,,,17322,,111,,100,,1335,
Vadim Khamuttskikh,Volleybox,4,310,3697.90,,,,182,,,327,71,,,,,,,Russia,,Setter,,,,1969-11-26,197,,,,,,,,8500,,90,,82,,1820,
Andrea Zorzi,przemek16,6,,3696.30,,,,10,,,,,,,,,,,Italy,72,Opposite,,,,1965-07-29,205,,,,,,,,10779,,69,,80,,,
Sebastián Solé,Volleybox,17,342,3692.20,,,,450,,,362,,,,,,,91,Argentina,73,Middle-blocker,,,,1991-06-12,200,,,,,,,,25899,,86,,88,,,
Leandro Vissotto Neves,Volleybox,13,345,3685.40,,,,463,,,365,74,,,,,,117,Brazil,,Opposite,,,,1983-04-30,212,,,,,,,,22163,,97,,105,,,
Peter Blangé,,,,3663.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srećko Lisinac,Volleybox,16,355,3660.10,,,,409,,,370,,,,,,,96,Serbia,76,Middle-blocker,,,,1992-05-17,205,Right,,,,,,,34963,,87,,79,,,
Giovane Gávio,Volleybox,6,322,3638.20,,,,233,,,340,77,,,,,,,Brazil,,Outside Hitter,,,,1970-09-07,196,,,,,,,,10928,,118,,89,,543,
Andrea Lucchetta,Volleybox,2,,3634.05,,,,18,,,,,,,,,,,Italy,78,Middle-blocker,,,,1962-11-25,200,,,,,,,,6264,,75,,80,,,
Vyacheslav Zaytsev,Volleybox,6,,3613.20,,,,81,,,,79,,,,,,,Russia,,Setter,,,,1952-11-12,191,,,,,,,,13750,,92,,97,,351,
Piotr Nowakowski,Volleybox,17,338,3611.05,,,,389,,,368,,,,,,,,Poland,80,Middle-blocker,,,,1987-12-18,206,Right,,,,,,,18828,,98,,105,,,
Éder Carbonera,Volleybox,8,330,3605.65,,,,385,,,350,,,,,,,235,Brazil,81,Middle-blocker,,,,1983-10-19,205,,,,,,,,13745,,99,,101,,,
Marco Meoni,przemek16,5,320,3602.60,,,,257,,,335,,,,,,,,Italy,82,Setter,,,,1973-05-25,196,,,,,,,,5427,,87,,77,,,
Uroš Kovačević,Volleybox,22,338,3592.30,,,,471,,,355,,,,,,,188,Serbia,83,Outside Hitter,,,,1993-05-06,197,Left,,,,,,,44230,,109,,90,,,
Andrija Gerić,,7,323,3538.29,,,,161,,,350,,,,,,,,Serbia,84,Middle-blocker,,,2 years ago,1977-01-24,203,,,,,,,,16713,,85,,95,,,
Ricardo Garcia,Volleybox,6,320,3528.60,,,,348,,,337,85,,,,,,,Brazil,,Setter,,,,1975-11-19,191,Left,,,,,,,32053,,96,,89,,,
Marcelo Negrão,,,,3480.60,86,przemek16,,,,,,,,Brasil,9204,,Oposto,,,,,,,,,,,,198,,,,1972-10-10,,94,,,,,,3304
Fabio Vullo,Volleybox,0,,3458.30,,,,58,,,,,,,,,,,Italy,87,Setter,,,,1964-09-01,198,,,,,,,,7398,,82,,,,,
Facundo Conte,Volleybox,18,334,3457.45,,,,453,,,354,,,,,,,3,Argentina,88,Outside Hitter,,,,1989-08-25,197,Right,,,,,,,41188,,97,,85,,,
Nikolay Apalikov,Volleybox,7,344,3456.85,,,,291,,,353,,,,,,,,Russia,89,Middle-blocker,,,,1982-08-26,203,,,,,,,,8448,,82,,103,,,
Alberto Cisolla,Volleybox,3,340,3453.95,,,,417,,,355,,,,,,,,Italy,90,Outside Hitter,,,,1977-10-17,197,,,,,,,,9274,,101,,86,,,
Roman Yakovlev,Volleybox,5,328,3443.20,,,,413,,,342,91,,,,,,,Russia,,Opposite,,,,1976-08-13,202,,,,,,,,11969,,108,,101,,858,
Maurício Souza,Volleybox,11,323,3440.95,,,,310,,,344,,,,,,,,Brazil,92,Middle-blocker,,,,1988-09-29,209,,,,,,,,15763,,79,,93,,,
Krzysztof Ignaczak,Volleybox,8,315,3432.59,,,,207,,,335,93,,,,,,,Poland,,Libero,,,,1978-05-15,188,,,,,,,,9997,,97,,86,,,
Paweł Zagumny,,,,3414.85,,,200,,14170,Rozgrywający,,,330,,,1977-10-18,,,,,,94,88,,,,,Polska,,,320,Volleybox,,,,,,,,,
Rodrigo Santana,Volleybox,3,328,3411.60,,,,122,,,350,95,,,,,,,Brazil,,Middle-blocker,,,,1979-04-17,205,,,,,,,,7746,,81,,85,,5215,
Stéphane Antiga,Volleybox,4,321,3406.25,,,,814,,,344,96,,,,,,,France,,Outside Hitter,,,,1976-02-03,200,,,,,,,,21785,,137,,94,,336,
Maurício Borges,Volleybox,12,315,3405.70,,,,370,,,335,,,,,,,265,Brazil,97,Outside Hitter,,,,1989-02-04,199,,,,,,,,28808,,94,,99,,,
Seyed Mohammad Mousavi,Volleybox,20,344,3381.70,,,,137,,,362,,,,,,,455,Iran,98,Middle-blocker,,,,1987-08-22,203,Right,,,,,,,31464,,79,,86,,,
Oh-Hyun Yeo,Volleybox,27,279,3373.80,,,,630,,,280,99,,,,,,270,South Korea,,Libero,,,,1978-09-02,175,,,,,,,,8843,,113,,70,,1528,
Marcelo Elgarten,Volleybox,4,308,3353.45,,,,244,,,321,,,,,,,,Brazil,100,Setter,,,,1974-11-09,186,,,,,,,,9923,,98,,84,,,
Konstantin Ushakov,Volleybox,1,332,3338.70,,,,401,,,343,101,,,,,,,Russia,,Setter,,,,1970-03-24,198,,,,,,,,7407,,152,,77,,303,
Luiz Felipe Fonteles,Volleybox,13,338,3325.75,,,,429,,,351,,,,,,,,Brazil,102,Outside Hitter,,,,1984-06-19,197,,,,,,,,24603,,90,,93,,,
Hristo Zlatanov,Volleybox,6,315,3323.60,,,,579,,,355,103,,,,,,,Italy,,Outside Hitter,,,,1976-04-21,204,,,,,,,,9400,,103,,103,,,
André Nascimento,,,,3306.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexey Kazakov,Volleybox,3,344,3289.20,,,,361,,,358,105,,,,,,,Russia,,Middle-blocker,,,,1976-03-18,217,,,,,,,,9482,,107,,112,,1290,
Ron Zwerver,przemek16,8,,3286.90,,,,146,,,,106,,,,,,,Netherlands,,Outside Hitter,,,,1967-06-06,200,,,,,,,,9659,,111,,93,,1190,
Micah Christenson,Volleybox,20,340,3256.03,,,,409,,,349,,,,,,,,USA,107,Setter,,,,1993-05-08,198,,,,,,,,58636,,67,,88,,,
John Gordon Perrin,Volleybox,40,329,3241.65,,,,406,,,358,,,,,,,338,Canada,108,Outside Hitter,,,,1989-08-17,201,,,,,,,,30110,,78,,95,,,
Alexis Ruben González,Volleybox,17,300,3240.62,,,,400,,,321,109,,,,,,309,Argentina,,Libero,,,,1981-07-21,184,,,,,,,,14211,,101,,85,,,
Evandro Guerra,,10,332,3240.05,,,,313,,,359,,,,,,,,Brazil,110,Opposite,,,5 months ago,1981-12-27,207,,,,,,,,18333,,88,,103,,,
Łukasz Żygadło,Volleybox,3,321,3213.00,,,,359,,,342,,,,,,,474,Poland,111,Setter,,,,1979-08-02,201,Right,,,,,,,17131,,104,,91,,,
Vigor Bovolenta,Volleybox,0,345,3210.35,,,,184,,,358,,,,,,,,Italy,112,Middle-blocker,,,,1974-05-30,202,,,,,,,,6930,,85,,91,,,
Dragan Stanković,Volleybox,4,333,3205.76,,,,633,,,355,,,,,,,80,Serbia,113,Middle-blocker,,,,1985-10-18,205,Right,,,,,,,20427,,97,,94,,,
Aleksandr Kosarev,Volleybox,1,328,3201.35,,,,511,,,339,114,,,,,,,Russia,,Outside Hitter,,,,1977-09-30,203,,,,,,,,6525,,102,,95,,1150,
Rafael Pascual,Volleybox,8,329,3194.34,,,,117,,,355,,,,,,,,Spain,115,Outside Hitter,,,,1970-03-16,196,,,,,,,,10975,,98,,88,,,
Alessandro Farina,Volleybox,4,310,3190.65,,,,325,,,342,,,,,,,,Italy,116,Libero,,,,1976-05-16,182,,,,,,,,5947,,79,,80,,,
Ruslan Olikhver,Volleybox,3,,3176.25,,,,151,,,,117,,,,,,,Russia,,Middle-blocker,,,,1969-04-11,201,,,,,,,,6893,,102,,91,,,
Teodor Salparov,Volleybox,7,305,3164.53,,,,382,,,320,,,,,,,314,Bulgaria,118,Libero,,,,1982-08-16,187,,,,,,,,14233,,131,,77,,,
Pavel Abramov,Volleybox,13,336,3132.55,,,,102,,,347,,,,,,,,Russia,119,Outside Hitter,,,,1979-04-23,200,,,,,,,,7307,,62,,87,,,
Luca Tencati,soidensir3,3,330,3119.25,,,,413,,,350,,,,,,,,Italy,120,Middle-blocker,,,,1979-03-16,200,,,,,,,,4833,,76,,97,,,
Semion Poltavskiy,Volleybox,10,338,3116.85,,,,153,,,360,,,,,,,,Russia,121,Opposite,,,,1981-02-08,205,Right,,,,,,,9806,,67,,89,,,
Massimo Colaci,soidensir3,2,290,3111.18,,,,714,,,320,,,,,,,91,Italy,122,Libero,,,,1985-02-21,185,,,,,,,,12549,,84,,75,,,
Erik Shoji,Volleybox,17,321,3103.05,,,,345,,,330,,,,,,,218,USA,123,Libero,,,,1989-08-24,184,,,,,,,,39394,,74,,83,,,
Mikiyasu Tanaka,sitenoise,27,,3053.75,,,,153,,,330,124,,,,,,,Japan,,Outside Hitter,,,,1955-03-18,195,Right,,,,,,,1781,,135,,87,,669,
Michał Winiarski,,,,3034.15,,,200,,19209,Przyjmujący,,,355,,,1983-09-28,,,,,,125,82,,,,,Polska,,963,332,Volleybox,,,,,,,,,
Gilson Bernardo,Volleybox,23,,2978.15,,,,96,,,,126,,,,,,,Brazil,,Opposite,,,,1968-02-20,194,,,,,,,,4972,,51,,94,,3745,
André Heller,Volleybox,3,321,2970.10,,,,401,,,339,127,,,,,,,Brazil,,Middle-blocker,,,,1975-12-17,199,,,,,,,,8537,,107,,93,,,
Miguel Angel López,marciovolley,27,350,2967.85,,,,161,,,372,,,,,,,8,Cuba,128,Outside Hitter,,,,1997-03-25,190,Right,,,,,,,30091,,62,,83,,,
Marcin Możdżonek,,,,2953.55,,,212,,10332,Środkowy,,,360,,,1985-02-09,,,,129,,,104,,,,,Polska,,,340,Volleybox,,,,,,,,,
Leonel Marshall,Volleybox,13,343,2932.40,,,,344,,,383,,,,,,,573,Cuba,130,Outside Hitter,,,,1979-09-25,196,Right,,,,,,,59391,,72,,86,,,
Marko Ivović,Volleybox,15,330,2931.03,,,,431,,,350,,,,,,,,Serbia,131,Outside Hitter,,,,1990-12-22,194,Right,,,,,,,31149,,80,,92,,,
Damiano Pippi,Volleybox,3,305,2923.25,,,,115,,,325,,,,,,,,Italy,132,Libero,,,,1971-08-23,194,,,,,,,,4257,,72,,,,,
David Smith,Volleybox,10,345,2920.65,,,,513,,,360,,,,,,,218,USA,133,Middle-blocker,,,,1985-05-15,202,,,,,,,,23919,,94,,86,,,
Arslan Ekşi,sait864,18,295,2914.44,,,,351,,,310,,,,,,,104,Turkey,134,Setter,,,,1985-07-17,196,,,,,,,,27138,,98,,93,,,
Gavin Schmitt,Volleybox,24,340,2906.75,,,,262,,,372,,,,,,,,Canada,135,Opposite,,,,1986-01-27,208,Right,,,,,,,28077,,62,,106,,,
Taras Khtey,Volleybox,2,325,2906.55,,,,341,,,347,136,,,,,,,Russia,,Outside Hitter,,,,1982-05-22,205,Right,,,,,,,6496,,88,,105,,,
Pavel Pankov,Volleybox,18,330,2898.45,,,,394,,,345,,,,,,,,Russia,137,Setter,,,,1995-08-14,198,,,,,,,,22350,,64,,90,,,
Cristian Savani,Volleybox,14,335,2889.05,,,,363,,,354,,,,,,,,Italy,138,Outside Hitter,,,,1982-02-22,195,,,,,,,,17106,,70,,95,,,
Karol Kłos,,,,2887.85,,,201,,16341,Środkowy,,,360,,,1989-08-08,,,,139,,,87,,,,,Polska,,,330,Volleybox,,,,,28,,,,
Sidnei Santos,Volleybox,4,318,2877.70,,,,249,,,344,,,,,,,,Brazil,140,Middle-blocker,,,,1982-07-09,203,,,,,,,,12154,,78,,98,,,
Wout Wijsmans,,,,2876.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrey Egorchev,Volleybox,1,315,2861.60,,,,177,,,332,142,,,,,,,Russia,,Middle-blocker,,,,1978-02-08,206,,,,,,,,5787,,75,,117,,5355,
Vladimir Nikolov,Volleybox,7,325,2848.75,,,,529,,,345,143,,,,,,,Bulgaria,,Opposite,,,,1977-10-03,200,Right,,,,,,,20911,,98,,95,,,
Taylor Sander,Volleybox,13,330,2838.53,,,,260,,,358,,,,,,,,USA,144,Outside Hitter,,,,1992-03-17,193,Right,,,,,,,46160,,66,,80,,,
Pavel Kruglov,soidensir3,7,342,2837.35,,,,517,,,351,,,,,,,,Russia,145,Opposite,,,,1985-09-17,205,Right,,,,,,,10602,,90,,90,,,
Maxwell Holt,Volleybox,11,333,2833.30,,,,452,,,351,,,,,,,179,USA,146,Middle-blocker,,,,1987-03-12,208,,,,,,,,36069,,73,,90,,,
Evgeniy Sivozhelez,Volleybox,3,320,2832.10,,,,493,,,330,,,,,,,,Russia,147,Outside Hitter,,,,1986-08-06,196,,,,,,,,12528,,86,,90,,,
David Lee,Volleybox,9,325,2820.15,,,,158,,,350,148,,,,,,,USA,,Middle-blocker,,,,1982-03-08,203,,,,,,,,26477,,77,,105,,5188,
Miguel Angel Falasca,Volleybox,5,322,2812.62,,,,303,,,345,149,,,,,,,Spain,,Setter,,,,1973-04-29,194,,,,,,,,10903,,111,,90,,748,
Amauri Ribeiro,Volleybox,2,,2786.35,,,,0,,,,,,,,,,,Brazil,150,Middle-blocker,,,,1959-01-23,198,,,,,,,,3870,,66,,87,,,
Claudio Galli,marciovolley,2,,2774.20,,,,4,,,,,,,,,,,Italy,151,Middle-blocker,,,,1965-07-12,195,,,,,,,,4153,,61,,,,,
Thales Hoss,Volleybox,13,303,2771.70,,,,340,,,320,,,,,,,381,Brazil,152,Libero,,,,1989-04-27,190,,,,,,,,21392,,81,,80,,,
Filippo Lanza,Volleybox,5,330,2766.00,,,,583,,,350,,,,,,,173,Italy,153,Outside Hitter,,,,1991-03-03,198,,,,,,,,32147,,72,,98,,,
Franco Bertoli,Volleybox,1,,2765.20,,,,41,,,,154,,,,,,,Italy,,Outside Hitter,,,,1959-04-29,192,,,,,,,,4809,,67,,83,,868,
Cristian Casoli,Volleybox,1,315,2758.04,,,,313,,,345,,,,,,,,Italy,155,Outside Hitter,,,,1975-01-27,192,,,,,,,,6503,,86,,85,,,
Demián González,Volleybox,9,318,2752.05,,,,278,,,328,,,,,,,218,Argentina,156,Setter,,,,1983-02-21,192,,,,,,,,10166,,98,,81,,,
Nikolay Pavlov,,16,321,2748.90,,,,254,,,342,157,,,,,,,Ukraine,,Opposite,,,1 month ago,1982-05-22,196,Right,,,,,,,12131,,73,,92,,,
José Montanaro,Volleybox,2,,2738.45,,,,78,,,,158,,,,,,,Brazil,,Outside Hitter,,,,1958-06-29,187,,,,,,,,7422,,90,,81,,,
Alan Souza,mvs,14,343,2732.80,,,,317,,,367,,,,,,,386,Brazil,159,Opposite,,,,1994-03-21,202,Right,,,,,,,36058,,69,,98,,,
Wolfgang Kuck,franzvinci01,14,,2728.75,,,,336,,,,,,,,,,,Germany,160,Outside Hitter,,,,1967-10-12,197,,,,,,,,3886,,78,,,,,
